"No","Meting door:","Datum","Gewicht in kg","Vetpercentage in %","Spiermassa in KG","Spiermassa in PERCENTAGE (nu met kommagetal!)","Lichaamsvocht in KG","Lichaamsvocht in PERCENTAGE (nu met kommagetal)","Botmassa in KG","Botmassa in PERCENTAGE (nu met kommagetal)","Notities"
"642","Weegschaal thuis","24-11-2022 08:38:59","78,5",,,,,,,,""
"641","Weegschaal thuis","23-11-2022 08:48:43","78,4",,,,,,,,""
"640","Weegschaal thuis","22-11-2022 07:20:55","78,1",,,,,,,,""
"639","Better Bodies apparaat","21-11-2022 20:56:56","78,7","16,7","62,3",,"45,3","57,6","3,3",,"Gemeten vlak voor 1ste training na deload (rust-)week"
"638","Weegschaal thuis","21-11-2022 06:19:49","78,7",,,,,,,,""
"637","Weegschaal thuis","20-11-2022 12:58:40","78,2",,,,,,,,"Gisteren cheatday, circa 3000 kcal (minder dan normaal ivbm deloadweek. Deze hele week niet naar de sportschool geweest)"
"636","Weegschaal thuis","19-11-2022 09:12:05","78,0",,,,,,,,""
"635","Weegschaal thuis","18-11-2022 08:48:49","78,3",,,,,,,,""
"634","Weegschaal thuis","17-11-2022 09:01:24","78,0",,,,,,,,""
"633","Weegschaal thuis","16-11-2022 08:48:03","78,5",,,,,,,,""
"632","Weegschaal thuis","15-11-2022 07:25:17","78,4",,,,,,,,""
"631","Weegschaal thuis","14-11-2022 07:33:14","78,7",,,,,,,,""
"630","Weegschaal thuis","13-11-2022 11:54:42","78,1",,,,,,,,"Gisteren cheatday gehad, circa 4000 kcal"
"629","Weegschaal thuis","12-11-2022 09:53:30","77,8",,,,,,,,""
"628","Weegschaal thuis","11-11-2022 11:34:22","77,7",,,,,,,,""
"627","Weegschaal thuis","10-11-2022 08:45:33","77,6",,,,,,,,""
"626","Weegschaal thuis","09-11-2022 08:51:53","78,3",,,,,,,,""
"625","Weegschaal thuis","08-11-2022 07:25:14","77,9",,,,,,,,""
